Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Jamaica,"154,825",,"3,536",,"102,851",,"48,438",,"51,866","1,185","1,183,986","396,633","2,985,094"
Cambodia,"138,736",,"3,056",,"135,677",,3,,"8,081",178,"3,091,420","180,062","17,168,639"
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464"
Cameroon,"124,983",,"1,971",,"122,807",,205,13,"4,478",71,"1,751,774","62,762","27,911,548"
Malta,"118,574",,835,,"117,151",,588,4,"267,039","1,880","2,137,285","4,813,347","444,033"
Barbados,"107,566",,589,,"106,971",,6,,"373,463","2,045","801,451","2,782,594","288,023"
Angola,"105,384",,"1,934",,"103,419",,31,,"3,009",55,"1,499,795","42,818","35,027,343"
Channel Islands,"101,717",,228,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463"
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169"
DRC,"96,212",,"1,464",,"84,489",,"10,259",,"1,010",15,"846,704","8,890","95,240,792"
Senegal,"88,997",,"1,971",,"87,024",,2,,"5,041",112,"1,146,543","64,946","17,653,671"
Malawi,"88,728",,"2,686",,"85,651",,391,67,"4,397",133,"624,784","30,959","20,180,839"
Ivory Coast,"88,328",,834,,"87,490",,4,,"3,184",30,"1,690,071","60,920","27,742,298"
Suriname,"82,495",,"1,404",,N/A,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831"
New Caledonia,"79,922",,314,,"79,605",,3,9,"274,726","1,079","98,964","340,182","290,915"
French Polynesia,"78,488",,649,,N/A,N/A,N/A,7,"276,207","2,284",,,"284,164"
Eswatini,"74,627",,"1,425",,"73,116",,86,,"62,986","1,203","1,048,704","885,119","1,184,817"
Guyana,"73,198",,"1,298",,"71,880",,20,,"92,184","1,635","729,688","918,950","794,045"
Belize,"70,782",,688,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190"
Fiji,"68,921",,883,,"67,029",,"1,009",,"75,782",971,"670,903","737,689","909,466"
Madagascar,"68,253",,"1,424",,"66,814",,15,,"2,339",49,"530,486","18,181","29,178,077"
Sudan,"63,993",,"5,046",,"58,640",,307,,"1,391",110,"562,941","12,240","45,992,020"
Mauritania,"63,715",,997,,"62,471",,247,,"12,998",203,"1,009,957","206,030","4,901,981"
Cabo Verde,"63,613",,413,,"63,025",,175,23,"112,058",728,"401,622","707,482","567,678"
Bhutan,"62,666",,21,,"61,564",,"1,081",,"79,531",27,"2,303,734","2,923,739","787,941"
Syria,"57,542",,"3,164",,"54,370",,8,,"2,971",163,"146,269","7,553","19,364,809"
Burundi,"53,740",,38,,"53,569",,133,,"4,257",3,"345,742","27,386","12,624,840"
Seychelles,"50,937",,172,,"50,750",,15,,"512,311","1,730",,,"99,426"
Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533"
Andorra,"47,974",,165,,"47,563",,246,14,"619,315","2,130","249,838","3,225,256","77,463"
Papua New Guinea,"46,842",,670,,"43,982",,"2,190",7,"5,041",72,"249,149","26,813","9,292,169"
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529"
Aruba,"44,114",,236,,"42,438",,"1,440",2,"409,947","2,193","177,885","1,653,068","107,609"
Tanzania,"42,973",,846,,N/A,N/A,N/A,7,679,13,,,"63,298,550"
Mauritius,"42,268",,"1,049",,"40,457",,762,,"33,158",823,"358,675","281,374","1,274,727"
Mayotte,"42,027",,188,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038","286,259"
Togo,"39,490",,290,,"39,190",,10,,"4,549",33,"811,189","93,446","8,680,837"
Guinea,"38,462",,467,,"37,757",,238,8,"2,774",34,"660,107","47,607","13,865,691"
Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516"
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233"
Haiti,"34,228",,860,,"33,342",,26,,"2,930",74,"132,422","11,337","11,680,283"
Mali,"33,145",,743,,"32,326",,76,,"1,544",35,"803,712","37,428","21,473,764"
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277"
Saint Lucia,"30,052",,409,,"29,095",,548,,"162,344","2,209","210,983","1,139,752","185,113"
Benin,"28,014",,163,,"27,847",,4,,"2,191",13,"604,310","47,268","12,784,726"
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466","23,778","16,841,795"
Micronesia,"26,453",,65,,N/A,N/A,N/A,1,"225,153",553,"82,000","697,938","117,489"
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805"
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159"
San Marino,"24,210",,125,,"24,013",,72,4,"710,283","3,667","196,855","5,775,414","34,085"
Timor-Leste,"23,428",,138,,"23,102",,188,,"17,108",101,"278,529","203,391","1,369,429"
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838"
Liechtenstein,"21,437",,91,,"21,345",,1,,"558,444","2,371","112,457","2,929,559","38,387"
Gibraltar,"20,550",,113,,"16,579",,"3,858",,"609,720","3,353","534,283","15,852,213","33,704"
Grenada,"19,693",,238,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523","113,475"
Bermuda,"18,860",,165,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128","61,939"
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100"
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511"
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464"
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662"
Tonga,"16,814",,13,,"15,638",,"1,163",,"156,048",121,"535,009","4,965,327","107,749"
Monaco,"16,749",,67,,"15,992",,690,4,"421,009","1,684","78,646","1,976,875","39,783"
Samoa,"16,743",,31,,"1,605",,"15,107",,"82,788",153,"187,397","926,612","202,239"
Marshall Islands,"16,081",,17,,"15,954",,110,,"267,762",283,,,"60,057"
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344"
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097"
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678"
Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"155,686","60,851","2,558,482"
Saint Martin,"12,300",,63,,"1,399",,"10,838",7,"309,590","1,586","112,382","2,828,643","39,730"
Vanuatu,"12,016",,14,,"11,976",,26,,"37,336",44,"24,976","77,606","321,832"
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973"
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867"
Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647"
Sint Maarten,"11,030",,92,,"10,905",,33,N/A,"250,876","2,093","62,056","1,411,454","43,966"
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660"
St. Vincent Grenadines,"9,619",,124,,"9,488",,7,,"86,230","1,112","114,100","1,022,851","111,551"
Guinea-Bissau,"9,350",,176,,"8,929",,245,6,"4,531",85,"145,231","70,385","2,063,367"
Comoros,"9,109",,161,,"8,939",,9,,"10,038",177,,,"907,419"
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509"
